交易对象 收入 支出 应收账款 应付账款 交易时间
a 3.0 1.0 1.0 1.0 2018-03-19 14:03:18
1 3.0 1.0 1.0 1.0 2018-03-19 14:04:35
d 3.0 1.0 1.0 0.0 2018-03-19 14:06:44
1 1.0 11.0 1.0 1.0 2018-03-19 14:11:06
1 1.0 1.0 1.0 1.0 2018-03-19 14:11:49
1 555.0 2.0 2.0 2.0 2018-03-19 14:12:03
2 564.0 2.0 55.0 5.0 2018-03-19 14:13:35
2 2.0 2.0 2.0 2.0 2018-03-19 14:15:05
545 454.0 5.0 5.0 5.0 2018-03-19 14:19:47
1 121.0 1.0 4.0 4.0 2018-03-19 14:21:21
2 55.0 5.0 5.0 5.0 2018-03-19 14:22:34
5 645.0 2.0 2.0 2.0 2018-03-19 14:25:34
s 54.0 2.0 2.0 2.0 2018-03-19 14:28:25
1 12.0 12.0 12.0 12.0 2018-03-19 14:28:43
s 2.0 2.0 2.0 2.0 2018-03-19 14:50:31
ds 2.0 2.0 2.0 2.0 2018-03-19 14:54:16
45 45.0 4.0 45.0 4.0 2018-03-19 14:58:14
